"","Genus","Species"
"Otu00382","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu00383",NA,NA
"Otu00384",NA,NA
"Otu00385",NA,NA
"Otu00386",NA,NA
"Otu00387",NA,NA
"Otu00388",NA,NA
"Otu00389",NA,NA
"Otu00390","Vibrio","ishigakensis"
"Otu00391",NA,NA
"Otu00392",NA,NA
"Otu00393",NA,NA
"Otu00394",NA,NA
"Otu00395",NA,NA
"Otu00396",NA,NA
"Otu00397",NA,NA
"Otu00398",NA,NA
"Otu00399",NA,NA
"Otu00400",NA,NA
"Otu00402",NA,NA
"Otu00403",NA,NA
"Otu00404",NA,NA
"Otu00405",NA,NA
"Otu00406","Pseudoalteromonas","byunsanensis/citrea/elyakovii/flavipulchra/maricaloris/peptidolytica/piscicida/rubra/viridis"
"Otu00407",NA,NA
"Otu00408",NA,NA
"Otu00409",NA,NA
"Otu00411",NA,NA
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00416",NA,NA
"Otu00417",NA,NA
"Otu00420",NA,NA
"Otu00422","Pseudooceanicola","nitratireducens"
"Otu00423",NA,NA
"Otu00424",NA,NA
"Otu00425",NA,NA
"Otu00426",NA,NA
"Otu00427",NA,NA
"Otu00428",NA,NA
"Otu00429",NA,NA
"Otu00430","Sphingorhabdus","marina"
"Otu00433",NA,NA
"Otu00434",NA,NA
"Otu00435",NA,NA
"Otu00437",NA,NA
"Otu00438","Algicola","sagamiensis"
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00441",NA,NA
"Otu00442",NA,NA
"Otu00443",NA,NA
"Otu00444",NA,NA
"Otu00445",NA,NA
"Otu00446",NA,NA
"Otu00447",NA,NA
"Otu00448",NA,NA
"Otu00449",NA,NA
"Otu00450",NA,NA
"Otu00451",NA,NA
"Otu00452",NA,NA
"Otu00453",NA,NA
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456",NA,NA
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00459",NA,NA
"Otu00460",NA,NA
"Otu00461",NA,NA
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00464",NA,NA
"Otu00465",NA,NA
"Otu00466",NA,NA
"Otu00467",NA,NA
"Otu00468","Ruegeria","marina"
"Otu00470",NA,NA
"Otu00471",NA,NA
"Otu00473",NA,NA
"Otu00474",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00477",NA,NA
"Otu00478",NA,NA
"Otu00479",NA,NA
"Otu00481",NA,NA
"Otu00482",NA,NA
"Otu00483",NA,NA
"Otu00484",NA,NA
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488",NA,NA
"Otu00489",NA,NA
"Otu00490","Ralstonia","detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii"
"Otu00491",NA,NA
"Otu00492",NA,"caerulea/multivorans"
"Otu00493",NA,NA
"Otu00495",NA,NA
"Otu00496",NA,NA
"Otu00497",NA,NA
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00501",NA,NA
"Otu00502",NA,NA
"Otu00503",NA,NA
"Otu00504","Celeribacter","indicus"
"Otu00507","Halodesulfovibrio","marinisediminis/spirochaetisodalis"
"Otu00508",NA,NA
"Otu00509",NA,NA
"Otu00510",NA,NA
"Otu00511","Tenacibaculum","adriaticum/aestuarii/aiptasiae/ascidiaceicola/discolor/gallaicum/litoreum/lutimaris/mesophilum/sediminilitoris"
"Otu00512",NA,NA
"Otu00514",NA,NA
"Otu00515",NA,NA
"Otu00517",NA,NA
"Otu00518",NA,NA
"Otu00519",NA,NA
"Otu00520",NA,NA
"Otu00521",NA,NA
"Otu00522",NA,NA
"Otu00524",NA,NA
"Otu00525",NA,NA
"Otu00527",NA,NA
"Otu00528",NA,NA
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,NA
"Otu00532","Bermanella","marisrubri"
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00536",NA,NA
"Otu00537",NA,NA
"Otu00538",NA,NA
"Otu00539",NA,NA
"Otu00540",NA,NA
"Otu00541",NA,NA
"Otu00543","Roseovarius","atlanticus"
"Otu00544",NA,NA
"Otu00545",NA,NA
"Otu00546",NA,NA
"Otu00547","Fabibacter","misakiensis"
"Otu00548",NA,NA
"Otu00549",NA,NA
"Otu00550",NA,NA
"Otu00551",NA,NA
"Otu00552",NA,NA
"Otu00553",NA,NA
"Otu00554",NA,NA
"Otu00555",NA,NA
"Otu00556",NA,NA
"Otu00557",NA,NA
"Otu00558",NA,NA
"Otu00559",NA,NA
"Otu00560",NA,NA
"Otu00561",NA,NA
"Otu00562",NA,NA
"Otu00563",NA,NA
"Otu00564",NA,NA
"Otu00565",NA,NA
"Otu00566",NA,NA
"Otu00567",NA,NA
"Otu00568",NA,NA
"Otu00569",NA,NA
"Otu00570",NA,NA
"Otu00571",NA,NA
"Otu00572",NA,NA
"Otu00573",NA,NA
"Otu00574",NA,NA
"Otu00575",NA,NA
"Otu00576",NA,NA
"Otu00577",NA,NA
"Otu00578",NA,NA
"Otu00579",NA,NA
"Otu00580",NA,NA
"Otu00581",NA,NA
"Otu00582",NA,NA
"Otu00583",NA,NA
"Otu00584",NA,NA
"Otu00585",NA,NA
"Otu00586",NA,NA
"Otu00587",NA,NA
"Otu00588",NA,NA
"Otu00589",NA,NA
"Otu00590",NA,NA
"Otu00591","Vallitalea","pronyensis"
"Otu00592",NA,NA
"Otu00593",NA,NA
"Otu00594",NA,NA
"Otu00595",NA,NA
"Otu00596",NA,NA
"Otu00597",NA,NA
"Otu00598",NA,NA
"Otu00599",NA,NA
"Otu00602",NA,NA
"Otu00603",NA,NA
"Otu00604","Ilumatobacter","nonamiensis"
"Otu00605",NA,NA
"Otu00606",NA,NA
"Otu00607","Tenacibaculum","holothuriorum"
"Otu00608",NA,NA
"Otu00609",NA,NA
"Otu00610",NA,NA
"Otu00611",NA,NA
"Otu00613",NA,NA
"Otu00616",NA,NA
"Otu00617",NA,NA
"Otu00618",NA,NA
"Otu00620",NA,NA
"Otu00621",NA,NA
"Otu00623",NA,NA
"Otu00624",NA,NA
"Otu00625",NA,NA
"Otu00627",NA,NA
"Otu00628",NA,NA
"Otu00629",NA,NA
"Otu00630",NA,NA
"Otu00631",NA,NA
"Otu00632",NA,NA
"Otu00633",NA,NA
"Otu00634",NA,NA
"Otu00635",NA,NA
"Otu00636",NA,NA
"Otu00637",NA,NA
"Otu00638","Trichodesmium","hildebrandtii/thiebautii"
"Otu00639",NA,NA
"Otu00640",NA,NA
"Otu00641",NA,NA
"Otu00643","Microbulbifer","agarilyticus/celer/chitinilyticus/elongatus/maritimus/rhizosphaerae/taiwanensis/variabilis"
"Otu00644",NA,NA
"Otu00645",NA,NA
"Otu00646",NA,NA
"Otu00647",NA,NA
"Otu00648",NA,NA
"Otu00649",NA,NA
"Otu00650",NA,NA
"Otu00651",NA,NA
"Otu00652",NA,NA
"Otu00653",NA,NA
"Otu00654",NA,NA
"Otu00655",NA,NA
"Otu00656",NA,NA
"Otu00657",NA,NA
"Otu00658",NA,NA
"Otu00659",NA,NA
"Otu00660",NA,NA
"Otu00661",NA,NA
"Otu00662",NA,NA
"Otu00663",NA,NA
"Otu00664",NA,NA
"Otu00665","Erythrobacter","longus/lutimaris/nanhaisediminis/vulgaris"
"Otu00666",NA,NA
"Otu00667",NA,NA
"Otu00668",NA,"aiptasiae/halocynthiae/marinivivus"
"Otu00669",NA,NA
"Otu00670",NA,NA
"Otu00671",NA,NA
"Otu00672","Stenotrophomonas","acidaminiphila/humi/maltophilia/pavanii"
"Otu00674",NA,NA
"Otu00675",NA,NA
"Otu00676",NA,NA
"Otu00677",NA,NA
"Otu00678",NA,NA
"Otu00679",NA,NA
"Otu00680",NA,NA
"Otu00681",NA,NA
"Otu00682",NA,NA
"Otu00683",NA,NA
"Otu00684",NA,NA
"Otu00685",NA,NA
"Otu00686",NA,NA
"Otu00687",NA,NA
"Otu00688",NA,NA
"Otu00689","Spongiibacterium","flavum"
"Otu00690",NA,NA
"Otu00691",NA,NA
"Otu00692",NA,NA
"Otu00693",NA,NA
"Otu00695",NA,NA
"Otu00696",NA,NA
"Otu00697",NA,NA
"Otu00698",NA,NA
"Otu00699",NA,NA
"Otu00700",NA,NA
"Otu00701",NA,NA
"Otu00702",NA,NA
"Otu00704",NA,NA
"Otu00705",NA,NA
"Otu00706",NA,NA
"Otu00707",NA,NA
"Otu00708",NA,NA
"Otu00709",NA,NA
"Otu00710",NA,NA
"Otu00712",NA,NA
"Otu00713",NA,NA
"Otu00714",NA,NA
"Otu00715",NA,NA
"Otu00716",NA,NA
"Otu00717",NA,NA
"Otu00718",NA,NA
"Otu00720",NA,NA
"Otu00721",NA,NA
"Otu00723",NA,NA
"Otu00724",NA,NA
"Otu00725",NA,NA
"Otu00726",NA,NA
"Otu00727",NA,NA
"Otu00728",NA,NA
"Otu00729",NA,NA
"Otu00730",NA,NA
"Otu00731",NA,NA
"Otu00732",NA,NA
"Otu00733",NA,NA
"Otu00735",NA,NA
"Otu00737",NA,NA
"Otu00738",NA,NA
"Otu00739",NA,"insulare/mobilis/neustonicus"
"Otu00740",NA,NA
"Otu00741",NA,NA
"Otu00742",NA,NA
"Otu00743",NA,NA
"Otu00744",NA,NA
"Otu00745",NA,NA
"Otu00746",NA,NA
"Otu00747",NA,NA
"Otu00748",NA,NA
"Otu00749",NA,NA
"Otu00751",NA,NA
"Otu00752",NA,NA
"Otu00754",NA,NA
"Otu00755",NA,NA
"Otu00756",NA,NA
"Otu00758",NA,NA
"Otu00760",NA,NA
"Otu00761",NA,NA
"Otu00762",NA,NA
"Otu00763",NA,"dubius/faviae/litorea"
"Otu00764",NA,NA
"Otu00765",NA,NA
"Otu00767",NA,NA
"Otu00768","Maricurvus","nonylphenolicus"
"Otu00769",NA,NA
"Otu00770",NA,NA
"Otu00772",NA,NA
"Otu00773",NA,"biformata/boseongensis/intermedia"
"Otu00774",NA,NA
"Otu00775",NA,NA
"Otu00776",NA,NA
"Otu00777",NA,NA
"Otu00778",NA,NA
"Otu00779",NA,NA
"Otu00780",NA,NA
"Otu00781",NA,NA
"Otu00783",NA,NA
"Otu00785",NA,NA
"Otu00786",NA,NA
"Otu00787",NA,NA
"Otu00788",NA,NA
"Otu00789",NA,NA
"Otu00791",NA,NA
"Otu00792",NA,NA
"Otu00793",NA,NA
"Otu00794",NA,NA
"Otu00795",NA,NA
"Otu00796",NA,NA
"Otu00797",NA,NA
"Otu00798",NA,NA
"Otu00799",NA,NA
"Otu00800",NA,"altitudinis/amyloliquefaciens/anthracis/bingmayongensis/bombysepticus/cereus/coagulans/cytotoxicus/firmus/gaemokensis/licheniformis/manliponensis/megaterium/meqaterium/mycoides/nealsonii/oryzaecorticis/phage/pneumoniae/pseudomycoides/pumilus/salmalaya/samanii/subtilis/thuringiensis/toyonensis/weihenstephanensis/wiedmannii"
"Otu00801",NA,NA
"Otu00802",NA,NA
"Otu00803",NA,NA
"Otu00804",NA,NA
"Otu00805",NA,NA
"Otu00807",NA,NA
"Otu00808",NA,NA
"Otu00809",NA,NA
"Otu00810",NA,NA
"Otu00811",NA,NA
"Otu00812",NA,NA
"Otu00814",NA,NA
"Otu00815",NA,NA
"Otu00816",NA,NA
"Otu00817",NA,NA
"Otu00818",NA,NA
"Otu00819",NA,NA
"Otu00820",NA,NA
"Otu00822","Delftia","acidovorans/cf./lacustris/tsuruhatensis"
"Otu00824",NA,NA
"Otu00826",NA,NA
"Otu00827",NA,NA
"Otu00828",NA,NA
"Otu00829",NA,NA
"Otu00830",NA,NA
"Otu00831",NA,NA
"Otu00832",NA,NA
"Otu00833",NA,NA
"Otu00834",NA,NA
"Otu00835",NA,NA
"Otu00836",NA,NA
"Otu00837",NA,NA
"Otu00838",NA,NA
"Otu00839",NA,NA
"Otu00840",NA,NA
"Otu00841",NA,NA
"Otu00842",NA,NA
"Otu00843",NA,NA
"Otu00844",NA,NA
"Otu00845",NA,NA
"Otu00846",NA,NA
"Otu00847",NA,NA
"Otu00848",NA,NA
"Otu00850",NA,NA
"Otu00852",NA,NA
"Otu00853",NA,NA
"Otu00854",NA,NA
"Otu00855",NA,NA
"Otu00856",NA,NA
"Otu00857",NA,NA
"Otu00858",NA,NA
"Otu00859",NA,NA
"Otu00860",NA,NA
"Otu00861",NA,NA
"Otu00862",NA,NA
"Otu00863",NA,NA
"Otu00864",NA,NA
"Otu00865",NA,NA
"Otu00866",NA,NA
"Otu00868",NA,NA
"Otu00869",NA,NA
"Otu00871",NA,NA
"Otu00872",NA,NA
"Otu00873",NA,NA
"Otu00874",NA,NA
"Otu00875",NA,NA
"Otu00876",NA,NA
"Otu00877",NA,NA
"Otu00878",NA,NA
"Otu00879","Roseovarius","albus/scapharcae"
"Otu00880",NA,NA
"Otu00881",NA,NA
"Otu00882",NA,NA
